id;type;width;height;nkernels;kwidth;kheight;hstride;vstride;procs
1;input;224;224;3;;;;;8
2;conv;55;55;64;11;11;4;4;8
3;conv;27;27;192;5;5;1;1;8
4;conv;13;13;384;3;3;1;1;8
5;conv;13;13;384;3;3;1;1;4
6;conv;13;13;256;3;3;1;1;4
7;fc;1;1;4096;1;;;;4
8;fc;1;1;4096;1;;;;4
9;fc;1;1;1001;3;;;;4
